8.400000000000000000e+01,6.400000000000000000e+01,2.500000000000000000e+02,2.020000000000000000e+02,2.768700000000000000e+04
5.290000000000000000e+02,1.080000000000000000e+02,1.670000000000000000e+02,2.250000000000000000e+02,2.484000000000000000e+04
9.040000000000000000e+02,1.680000000000000000e+02,2.820000000000000000e+02,1.760000000000000000e+02,2.792100000000000000e+04
1.304000000000000000e+03,2.250000000000000000e+02,2.660000000000000000e+02,1.860000000000000000e+02,2.852600000000000000e+04
6.100000000000000000e+01,4.290000000000000000e+02,2.870000000000000000e+02,1.650000000000000000e+02,3.102800000000000000e+04
4.780000000000000000e+02,4.790000000000000000e+02,2.650000000000000000e+02,1.970000000000000000e+02,2.931700000000000000e+04
9.170000000000000000e+02,5.380000000000000000e+02,2.600000000000000000e+02,1.860000000000000000e+02,2.683100000000000000e+04
1.295000000000000000e+03,6.030000000000000000e+02,2.780000000000000000e+02,1.990000000000000000e+02,3.048100000000000000e+04
9.800000000000000000e+01,8.410000000000000000e+02,2.050000000000000000e+02,1.820000000000000000e+02,2.645400000000000000e+04
4.160000000000000000e+02,9.340000000000000000e+02,2.480000000000000000e+02,1.990000000000000000e+02,2.664100000000000000e+04
7.990000000000000000e+02,1.015000000000000000e+03,2.720000000000000000e+02,1.810000000000000000e+02,2.929100000000000000e+04
1.256000000000000000e+03,1.086000000000000000e+03,2.880000000000000000e+02,1.880000000000000000e+02,3.158500000000000000e+04
8.100000000000000000e+01,1.301000000000000000e+03,2.780000000000000000e+02,1.800000000000000000e+02,2.802200000000000000e+04
4.370000000000000000e+02,1.352000000000000000e+03,2.360000000000000000e+02,1.950000000000000000e+02,2.742100000000000000e+04
8.140000000000000000e+02,1.482000000000000000e+03,2.730000000000000000e+02,1.900000000000000000e+02,3.132300000000000000e+04
1.284000000000000000e+03,1.546000000000000000e+03,2.260000000000000000e+02,1.710000000000000000e+02,2.553300000000000000e+04
6.700000000000000000e+01,1.774000000000000000e+03,2.840000000000000000e+02,1.860000000000000000e+02,3.090400000000000000e+04
4.760000000000000000e+02,1.851000000000000000e+03,2.650000000000000000e+02,1.940000000000000000e+02,3.203700000000000000e+04
8.550000000000000000e+02,1.948000000000000000e+03,2.330000000000000000e+02,1.710000000000000000e+02,2.421600000000000000e+04
1.246000000000000000e+03,2.042000000000000000e+03,2.790000000000000000e+02,1.850000000000000000e+02,2.928800000000000000e+04
